iso3,BN.CAB.XOKA.GD.ZS,BX.KLT.DINV.WD.GD.ZS,BX.TRF.PWKR.CD.DT,DT.DOD.DECT.CD,DT.DOD.DECT.GN.ZS,DT.TDS.DECT.EX.ZS,EG.ELC.ACCS.ZS,EG.ELC.COAL.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,EG.GDP.PUSE.KO.PP.KD,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.POP.DNST,EN.POP.SLUM.UR.ZS,FI.RES.TOTL.CD,FP.CPI.TOTL.ZG,GB.XPD.RSDV.GD.ZS,GC.DOD.TOTL.GD.ZS,IP.JRN.ARTC.SC,IP.PAT.NRES,IP.PAT.RESD,MS.MIL.XPND.GD.ZS,NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NE.RSB.GNFS.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GDP.PCAP.KD.ZG,NY.GDP.PCAP.PP.KD,SE.ADT.LITR.ZS,SE.PRM.CMPT.ZS,SE.PRM.ENRL.TC.ZS,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS,SH.DYN.MORT,SH.H2O.BASW.ZS,SH.IMM.MEAS,SH.MED.BEDS.ZS,SH.MED.PHYS.ZS,SH.STA.BASS.ZS,SH.XPD.CHEX.GD.ZS,SH.XPD.GHED.GD.ZS,SI.POV.DDAY,SI.POV.GINI,SI.POV.UMIC,SIPRI_MILEX_PCT_GDP,SL.UEM.TOTL.ZS,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.SCIE.RD.P6,SP.POP.TOTL,SP.URB.TOTL.IN.ZS,SP_RATING,TX.VAL.TECH.MF.ZS,VC.IHR.PSRC.P5,WHO_MAT_MORT,WHO_OBESITY,WHO_UHC_INDEX
BRA,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,0.9714285714285714,0.2857142857142857,1.0,1.0,0.6857142857142857,0.42857142857142855,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6,0.0,0.5142857142857142,0.34285714285714286,0.7142857142857143,1.0,0.7142857142857143,1.0,0.6857142857142857,0.42857142857142855,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9714285714285714,0.9714285714285714,1.0,1.0,0.42857142857142855,1.0,1.0,0.8571428571428571,0.5142857142857142,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.6857142857142857
RUS,0.8857142857142857,0.9428571428571428,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.34285714285714286,0.9142857142857143,0.9142857142857143,0.8285714285714286,0.7142857142857143,0.7714285714285715,0.8571428571428571,0.8571428571428571,0.9428571428571428,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.08571428571428572,0.45714285714285713,0.6,0.9714285714285714,0.6285714285714286,1.0,0.7142857142857143,0.9428571428571428,0.9714285714285714,0.9428571428571428,0.6571428571428571,0.6857142857142857,0.6857142857142857,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.9142857142857143,0.9714285714285714,1.0,1.0,0.8285714285714286,1.0,1.0,0.8,0.42857142857142855,0.9142857142857143,0.9714285714285714,0.9428571428571428,0.6857142857142857
IND,1.0,1.0,1.0,1.0,1.0,1.0,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.05714285714285714,1.0,1.0,0.7142857142857143,0.8285714285714286,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,0.05714285714285714,1.0,1.0,1.0,1.0,0.37142857142857144,0.5428571428571428,0.3142857142857143,0.8571428571428571,0.6285714285714286,1.0,0.7142857142857143,1.0,0.6571428571428571,0.22857142857142856,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9714285714285714,0.9714285714285714,1.0,1.0,0.22857142857142856,1.0,1.0,0.8571428571428571,0.45714285714285713,0.9428571428571428,0.9714285714285714,0.9428571428571428,0.6857142857142857
CHN,1.0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,1.0,1.0,0.8,0.0,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.11428571428571428,0.37142857142857144,0.6571428571428571,1.0,0.22857142857142856,1.0,0.7142857142857143,1.0,0.9714285714285714,0.8285714285714286,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9714285714285714,0.9714285714285714,1.0,1.0,0.8,1.0,1.0,0.8571428571428571,0.5142857142857142,0.6285714285714286,0.9714285714285714,0.9428571428571428,0.6857142857142857
ZAF,1.0,1.0,1.0,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.34285714285714286,1.0,1.0,0.6285714285714286,0.5714285714285714,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.34285714285714286,0.42857142857142855,0.6,0.4857142857142857,0.8857142857142857,1.0,0.7142857142857143,1.0,0.14285714285714285,0.5142857142857142,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.2,0.2,0.2,0.9714285714285714,0.9714285714285714,1.0,1.0,0.6285714285714286,1.0,1.0,0.8571428571428571,0.5142857142857142,0.8285714285714286,0.9714285714285714,0.9428571428571428,0.6857142857142857
BFA,0.5428571428571428,1.0,0.9714285714285714,1.0,1.0,0.8571428571428571,0.8857142857142857,0.6285714285714286,0.9428571428571428,0.9714285714285714,0.6285714285714286,0.6285714285714286,0.9714285714285714,0.6285714285714286,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.34285714285714286,0.0,1.0,0.4857142857142857,0.17142857142857143,0.7714285714285715,0.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.34285714285714286,0.9142857142857143,0.8,0.9142857142857143,0.5142857142857142,1.0,0.7142857142857143,1.0,0.11428571428571428,0.5714285714285714,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.2,0.2,0.2,0.9714285714285714,0.9714285714285714,1.0,1.0,0.02857142857142857,1.0,1.0,0.6,0.45714285714285713,0.45714285714285713,0.9714285714285714,0.9428571428571428,0.6857142857142857
MLI,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.9428571428571428,0.0,0.0,0.0,0.9714285714285714,0.34285714285714286,0.0,1.0,0.2,0.0,0.7714285714285715,0.0,0.0,0.9428571428571428,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.22857142857142856,0.5428571428571428,0.8,0.5714285714285714,0.6857142857142857,1.0,0.7142857142857143,1.0,0.3142857142857143,0.6285714285714286,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.9142857142857143,0.9714285714285714,1.0,1.0,0.2,1.0,1.0,0.0,0.34285714285714286,0.0,0.9714285714285714,0.9428571428571428,0.6857142857142857
NER,1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,0.9714285714285714,0.8285714285714286,0.6285714285714286,0.6857142857142857,0.6285714285714286,0.9714285714285714,0.6285714285714286,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.34285714285714286,0.0,1.0,0.0,0.0,0.7714285714285715,0.0,0.0,0.8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.17142857142857143,0.8571428571428571,0.7714285714285715,0.4857142857142857,0.8571428571428571,1.0,0.7142857142857143,1.0,0.4,0.6,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.7714285714285715,0.9714285714285714,1.0,1.0,0.17142857142857143,1.0,1.0,0.0,0.45714285714285713,0.05714285714285714,0.9714285714285714,0.9428571428571428,0.6857142857142857
SGP,1.0,1.0,0.0,0.0,0.0,0.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.34285714285714286,1.0,1.0,0.7714285714285715,1.0,0.7714285714285715,0.7714285714285715,0.7714285714285715,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4,0.22857142857142856,0.34285714285714286,0.3142857142857143,0.7142857142857143,1.0,0.7142857142857143,1.0,0.6571428571428571,0.8571428571428571,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.0,0.0,0.0,0.9714285714285714,0.9714285714285714,1.0,1.0,0.7714285714285715,1.0,1.0,0.8571428571428571,0.5142857142857142,0.9428571428571428,0.9714285714285714,0.9428571428571428,0.6857142857142857
RWA,0.42857142857142855,1.0,0.8571428571428571,1.0,1.0,0.7142857142857143,0.8,0.6857142857142857,0.6571428571428571,0.9714285714285714,0.6857142857142857,0.6285714285714286,0.6857142857142857,0.6285714285714286,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.34285714285714286,1.0,0.9428571428571428,0.08571428571428572,0.08571428571428572,0.7714285714285715,0.34285714285714286,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2,0.6571428571428571,0.7142857142857143,0.7428571428571429,0.5714285714285714,1.0,0.7142857142857143,1.0,0.4857142857142857,0.5142857142857142,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.9714285714285714,0.9714285714285714,1.0,1.0,0.17142857142857143,1.0,1.0,0.45714285714285713,0.4,0.37142857142857144,0.9714285714285714,0.9428571428571428,0.6857142857142857
KEN,1.0,1.0,1.0,1.0,1.0,1.0,0.8857142857142857,0.9142857142857143,0.9714285714285714,1.0,0.9142857142857143,0.9142857142857143,1.0,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,0.9714285714285714,0.34285714285714286,1.0,1.0,0.14285714285714285,0.0,0.7714285714285715,0.7428571428571429,0.7428571428571429,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.02857142857142857,0.14285714285714285,0.42857142857142855,0.34285714285714286,0.7714285714285715,1.0,0.7142857142857143,1.0,0.11428571428571428,0.42857142857142855,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.9714285714285714,0.9714285714285714,1.0,1.0,0.14285714285714285,1.0,1.0,0.5428571428571428,0.4,0.5142857142857142,0.9714285714285714,0.9428571428571428,0.6857142857142857
MAR,1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.34285714285714286,1.0,1.0,0.17142857142857143,0.4857142857142857,0.7714285714285715,0.7142857142857143,0.7428571428571429,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2,1.0,0.8285714285714286,0.9714285714285714,0.5428571428571428,1.0,0.7142857142857143,1.0,0.6571428571428571,0.3142857142857143,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9714285714285714,0.9714285714285714,1.0,1.0,0.22857142857142856,1.0,1.0,0.8285714285714286,0.2571428571428571,0.9142857142857143,0.9714285714285714,0.9428571428571428,0.6857142857142857
PAK,1.0,1.0,1.0,1.0,1.0,1.0,0.7428571428571429,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.34285714285714286,1.0,1.0,0.45714285714285713,0.17142857142857143,0.7714285714285715,0.8857142857142857,0.8857142857142857,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.4857142857142857,0.5714285714285714,0.6857142857142857,0.8571428571428571,1.0,0.7142857142857143,1.0,0.7142857142857143,0.8,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.9714285714285714,0.9714285714285714,1.0,1.0,0.3142857142857143,1.0,1.0,0.8571428571428571,0.4857142857142857,0.8285714285714286,0.9714285714285714,0.9428571428571428,0.6857142857142857
IDN,1.0,1.0,1.0,1.0,1.0,1.0,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.34285714285714286,1.0,1.0,0.2571428571428571,0.4,0.7714285714285715,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.34285714285714286,0.8857142857142857,0.8,0.9714285714285714,0.7428571428571429,1.0,0.7142857142857143,1.0,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9714285714285714,0.9714285714285714,1.0,1.0,0.22857142857142856,1.0,1.0,0.8571428571428571,0.42857142857142855,0.17142857142857143,0.9714285714285714,0.9428571428571428,0.6857142857142857
MEX,1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,0.9714285714285714,0.34285714285714286,1.0,1.0,0.8285714285714286,0.4857142857142857,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.7142857142857143,0.8,0.7142857142857143,0.8285714285714286,1.0,0.7142857142857143,1.0,0.9428571428571428,0.9428571428571428,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.9714285714285714,0.9714285714285714,1.0,1.0,0.8285714285714286,1.0,1.0,0.8571428571428571,0.4857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.6857142857142857
TUR,1.0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,1.0,0.9714285714285714,1.0,1.0,0.9142857142857143,1.0,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,0.9714285714285714,0.34285714285714286,1.0,1.0,0.8,0.7428571428571429,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.45714285714285713,0.4857142857142857,0.3142857142857143,0.9142857142857143,0.45714285714285713,1.0,0.7142857142857143,1.0,0.9142857142857143,0.9428571428571428,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.9714285714285714,0.9714285714285714,1.0,1.0,0.8,1.0,1.0,0.8571428571428571,0.5142857142857142,0.5142857142857142,0.9714285714285714,0.9428571428571428,0.6857142857142857
THA,1.0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,1.0,1.0,0.7142857142857143,0.9714285714285714,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2571428571428571,0.3142857142857143,0.6285714285714286,0.9142857142857143,0.9142857142857143,1.0,0.7142857142857143,1.0,0.8285714285714286,0.6285714285714286,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.8,0.8,0.8,0.9714285714285714,0.9714285714285714,1.0,1.0,0.5714285714285714,1.0,1.0,0.8571428571428571,0.5142857142857142,0.6285714285714286,0.9714285714285714,0.9428571428571428,0.6857142857142857
PHL,1.0,1.0,1.0,1.0,1.0,1.0,0.8857142857142857,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.34285714285714286,1.0,1.0,0.3142857142857143,0.7142857142857143,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.6,0.6857142857142857,0.8571428571428571,0.7142857142857143,1.0,0.7142857142857143,1.0,0.7428571428571429,0.7428571428571429,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.9714285714285714,0.9714285714285714,1.0,1.0,0.3142857142857143,1.0,1.0,0.8571428571428571,0.22857142857142856,0.6,0.9714285714285714,0.9428571428571428,0.6857142857142857
MYS,1.0,1.0,1.0,0.0,0.0,0.0,0.6857142857142857,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,1.0,1.0,0.4857142857142857,0.8285714285714286,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.22857142857142856,0.8285714285714286,0.7714285714285715,0.9428571428571428,0.8571428571428571,1.0,0.7142857142857143,1.0,0.8857142857142857,0.9714285714285714,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.9714285714285714,0.9714285714285714,1.0,1.0,0.4857142857142857,1.0,1.0,0.8571428571428571,0.45714285714285713,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.6857142857142857
POL,1.0,1.0,0.8857142857142857,0.0,0.0,0.0,0.9714285714285714,1.0,0.9714285714285714,1.0,1.0,0.9142857142857143,1.0,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,0.9714285714285714,0.34285714285714286,1.0,1.0,0.8,0.02857142857142857,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.9714285714285714,1.0,0.9714285714285714,1.0,0.0,0.5142857142857142,0.37142857142857144,0.6857142857142857,0.8571428571428571,1.0,0.5714285714285714,1.0,0.8571428571428571,0.9714285714285714,0.7142857142857143,0.7142857142857143,0.6857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9714285714285714,0.9714285714285714,1.0,1.0,0.8,1.0,1.0,0.8571428571428571,0.5142857142857142,0.8285714285714286,0.9714285714285714,0.9428571428571428,0.6857142857142857
CHL,1.0,1.0,0.6285714285714286,0.0,0.0,0.0,0.9714285714285714,1.0,0.9714285714285714,1.0,1.0,0.9142857142857143,1.0,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,0.9714285714285714,0.17142857142857143,1.0,1.0,0.45714285714285713,0.17142857142857143,0.7714285714285715,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.17142857142857143,0.4,0.5428571428571428,0.6857142857142857,0.8285714285714286,1.0,0.7142857142857143,1.0,0.7714285714285715,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.9714285714285714,0.9714285714285714,1.0,1.0,0.45714285714285713,1.0,1.0,0.8571428571428571,0.5142857142857142,0.5714285714285714,0.9714285714285714,0.9428571428571428,0.6857142857142857
COL,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9714285714285714,1.0,1.0,0.9142857142857143,1.0,0.9142857142857143,0.9142857142857143,1.0,1.0,1.0,0.9714285714285714,0.34285714285714286,1.0,1.0,0.6,0.6,0.7714285714285715,0.8857142857142857,0.8857142857142857,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6,0.6285714285714286,0.7714285714285715,0.6285714285714286,0.6571428571428571,1.0,0.7142857142857143,1.0,0.4,0.9428571428571428,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.9714285714285714,0.9714285714285714,1.0,1.0,0.14285714285714285,1.0,1.0,0.8571428571428571,0.5142857142857142,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.6857142857142857
PER,1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.34285714285714286,1.0,1.0,0.6,0.6,0.7714285714285715,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.37142857142857144,0.6857142857142857,0.8285714285714286,0.5142857142857142,0.8,1.0,0.7142857142857143,1.0,0.5142857142857142,0.42857142857142855,0.7142857142857143,0.6857142857142857,0.6857142857142857,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.9714285714285714,0.9714285714285714,1.0,1.0,0.0,1.0,1.0,0.8571428571428571,0.4857142857142857,0.3142857142857143,0.9714285714285714,0.9428571428571428,0.6857142857142857
